"","Province","Year","Count"
"1","Beijing",2011,2
"2","Beijing",2012,5
"3","Beijing",2013,13
"4","Beijing",2014,20
"5","Beijing",2015,5
"6","Guangdong",2011,54
"7","Guangdong",2012,154
"8","Guangdong",2013,243
"9","Guangdong",2014,300
"10","Guangdong",2015,42
"11","Shanghai",2011,6
"12","Shanghai",2012,12
"13","Shanghai",2013,11
"14","Shanghai",2014,44
"15","Shanghai",2015,8
"16","Chongqing",2011,4
"17","Chongqing",2012,2
"18","Chongqing",2013,10
"19","Chongqing",2014,22
"20","Chongqing",2015,6
